bor_subb,NAME,CODE,SUBBOROUGH,FORHIS06,FORHIS07,FORHIS08,FORHIS09,FORWH06,FORWH07,FORWH08,FORWH09,HHSIZ1990,HHSIZ00,HHSIZ02,HHSIZ05,HHSIZ08,KIDS2000,KIDS2005,KIDS2006,KIDS2007,KIDS2008,KIDS2009,RENT2002,RENT2005,RENT2008,RENTPCT02,RENTPCT05,RENTPCT08,PUBAST90,PUBAST00,YRHOM02,YRHOM05,YRHOM08
110,Williamsbridge / Baychester,110,Williamsbridge/Baychester,18.4977,23.5877,22.7022,21.6622,30.9457,28.4135,19.3925,23.0735,2.7973,2.7772,2.7613,2.5114,2.5903,42.1675,44.0430,42.9576,43.3996,42.3515,39.0177,800,880,1100,35.4925,34.1043,34.3092,63.711729,8.117254,12.592614530,13.613285400,11.617927220
201,Williamsburg / Greenpoint,201,Williamsburg/Greenpoint,33.4476,37.2073,32.2527,29.4794,23.8736,24.9056,20.2440,22.3023,2.8661,2.7677,2.8648,2.6270,2.5382,35.0024,26.0057,24.1960,25.7946,28.1612,26.4241,825,1050,1350,22.3318,21.2282,23.6962,84.399490,8.431087,12.447173880,12.341779710,12.411148430
204,Bushwick,204,Bushwick,42.1296,41.8017,41.6471,43.5219,0.0000,0.0000,0.0000,0.0000,3.3755,3.2021,2.9682,2.9094,2.6594,53.6096,44.9778,42.8246,42.4942,43.7724,43.1017,725,800,950,36.1951,39.9530,41.6790,86.706060,19.968782,9.145593284,9.257836367,8.277912213
203,Bedford Stuyvesant,203,Bedford Stuyvesant,25.4969,33.0332,31.8286,26.4376,10.2830,4.5206,12.2803,10.2708,2.8668,2.7706,2.4799,2.4192,2.4163,45.0378,43.9859,40.5041,35.1063,40.7373,37.2439,650,800,1000,39.8346,37.4580,41.6890,81.539775,17.849689,12.257866320,12.799476170,12.360682810
202,Brooklyn Heights / Fort Greene,202,Brooklyn Heights/Fort Greene,21.8284,25.2830,20.8148,20.8367,13.9009,14.4536,11.8343,11.7736,2.2631,2.1402,2.0232,2.0697,2.0779,24.7407,20.2674,22.7627,25.3517,20.7176,23.1117,1000,1000,1300,25.6087,24.7770,31.1844,75.439646,7.910931,11.661216670,10.521202100,9.586915353
206,Park Slope / Carroll Gardens,206,Park Slope/Carroll Gardens,27.4568,20.9302,25.2514,28.8136,9.0494,11.5697,9.4924,11.3446,2.3078,2.1985,2.2277,2.1379,2.1923,25.0841,24.3868,26.3038,27.7755,25.0075,26.9644,1044,1100,1650,36.9139,40.2799,39.9262,72.270927,4.321379,11.768497980,12.031634750,10.722390140
208,North Crown Heights / Prospect Heights,208,North Crown Heights/Prospect Heights,30.9949,31.7085,37.8797,31.1550,22.1530,18.5802,15.7203,9.1759,2.7350,2.5577,2.5137,2.2621,2.3390,38.2278,39.2001,35.1387,35.1776,28.2440,30.7554,775,980,1350,20.7922,22.3517,24.4613,84.782513,13.093806,11.788374620,10.872380380,10.056466100
216,Brownsville / Ocean Hill,216,Brownsville/Ocean Hill,34.9756,24.5058,24.1471,27.4009,28.7438,29.3755,27.9872,15.1064,3.1721,2.9354,2.6464,2.6385,2.4887,51.6881,44.9404,45.0734,46.3265,47.9300,45.7952,700,875,1000,28.1015,24.6766,29.6223,85.419995,20.480894,11.678311930,11.123947790,9.865704536
205,East New York / Starret City,205,East New York/Starrett City,29.8524,35.3682,31.9722,36.3533,31.2545,48.9429,43.6640,48.6332,3.1869,3.0587,2.8919,2.6473,2.7190,50.2566,44.0665,48.6687,45.5375,44.4836,47.8755,750,895,1000,32.0966,34.5957,31.8561,78.699322,13.888889,10.327998170,11.568131520,11.175043530
218,Flatlands / Canarsie,218,Flatlands/Canarsie,23.3045,23.3567,20.7530,27.5718,19.5369,17.0548,22.2653,21.0562,2.7358,2.9008,2.8540,2.8404,2.6653,43.0152,37.6141,40.5997,39.5797,42.7738,42.5722,850,950,1150,28.9932,27.8584,25.6225,45.743496,4.282995,12.078985870,11.902819720,13.067383560
217,East Flatbush,217,East Flatbush,42.9398,35.0936,48.0102,39.8415,19.2176,0.0000,0.0000,0.0000,3.1457,2.9306,2.8835,2.5500,2.4835,45.0122,41.5324,42.9481,36.7150,39.5128,37.4370,728,850,1000,29.9772,34.1325,31.8212,68.516823,7.388086,11.258624490,11.480904250,11.535624340
209,South Crown Heights,209,South Crown Heights,41.8877,40.9398,48.4430,34.3979,16.7564,24.5956,17.5634,17.3695,2.9479,2.7573,2.6505,2.5733,2.4425,42.1733,41.5303,34.7062,35.4144,32.6861,34.7975,750,800,1000,15.5953,10.4803,18.1170,86.014549,8.676957,11.659557500,12.785270000,12.273761650
207,Sunset Park,207,Sunset Park,43.5098,41.1922,44.5461,42.9115,20.9290,22.1718,22.1774,21.5103,2.9170,3.0466,2.8091,2.7542,2.6653,42.3996,41.7804,40.5431,40.1995,41.5738,36.1406,800,950,1000,43.3780,40.8828,47.3805,72.797105,8.982116,11.440833640,11.496725750,9.395899985
210,Bay Ridge,210,Bay Ridge,45.3520,27.0505,37.2978,26.4688,26.5352,28.6155,27.7496,27.8119,2.2534,2.3363,2.3072,2.3065,2.2137,26.3044,26.1904,27.4862,27.7798,22.3390,30.5117,975,1000,1100,26.0904,27.2383,29.3234,67.027140,3.529319,13.109273400,11.744590580,13.188922230
212,Borough Park,212,Borough Park,39.7225,41.4600,39.5671,42.4976,25.8186,26.8316,28.1519,23.2495,2.9375,3.1324,3.0866,3.0968,3.0984,41.1304,38.3349,41.0839,40.8188,40.4043,42.2071,754,950,1000,37.5390,31.7084,34.5974,69.479115,7.453581,12.873249090,14.082738000,12.568333520
214,Flatbush,214,Flatbush,39.6354,50.4170,48.3835,51.1968,37.5774,30.6050,32.9054,34.6767,2.8093,2.8779,2.8147,2.6647,2.4881,41.7739,33.6445,35.2153,37.4989,33.8825,33.5284,850,900,1120,14.1237,14.5912,10.5967,80.093363,8.160499,11.018072760,12.181668660,10.821647350
215,Sheepshead Bay / Gravesend,215,Sheepshead Bay/Gravesend,48.0020,39.2104,28.9868,37.1993,41.4732,41.7978,43.5435,42.9862,2.4402,2.5848,2.5416,2.3602,2.5150,31.0049,32.9803,26.4330,27.2876,28.1003,28.1178,869,1000,1100,21.1098,20.3991,21.8803,61.053090,5.224864,12.778189630,13.257573200,12.693534160
211,Bensonhurst,211,Bensonhurst,42.9224,46.5580,47.9288,47.1764,43.3387,40.1784,39.0725,43.9478,2.5082,2.6448,2.5957,2.5853,2.6744,31.9359,33.0096,31.9343,30.3531,32.6236,28.9767,750,925,1000,38.9458,38.1623,37.0752,69.137138,6.044883,12.845607410,11.960019210,11.784622730
213,Coney Island,213,Coney Island,39.9947,33.7140,33.4522,35.7211,60.3644,59.6448,59.1122,56.8873,2.3927,2.4314,2.2042,2.1781,2.1145,29.2787,23.4374,21.8258,22.9634,22.5731,22.0525,750,900,1000,11.5285,15.7978,16.3332,81.220779,9.121694,11.864031670,11.544200490,14.061285750
